Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
A	DET	0	5	0	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
gestão	NOUN	0	5	1	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
de	ADP	0	5	2	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
coleções	NOUN	0	5	3	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
exige	VERB	0	5	4	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
critérios	NOUN	0	5	5	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
técnicos	ADJ	0	5	6	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
rigorosos	ADJ	1	5	7	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
para	ADP	0	5	8	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
o	DET	0	5	9	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
descarte	NOUN	1	5	10	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
e	CCONJ	0	5	11	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
a	DET	0	5	12	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
aquisição	NOUN	0	5	13	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
de	ADP	0	5	14	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
novos	ADJ	0	5	15	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
títulos	NOUN	0	5	16	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
.	PUNCT	0	5	17	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
4	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	5	4	1	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
A	DET	0	6	0	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
catalogação	NOUN	1	6	1	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
descritiva	ADJ	1	6	2	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
utiliza	VERB	0	6	3	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
padrões	NOUN	0	6	4	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
internacionais	ADJ	0	6	5	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
como	ADP	0	6	6	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
o	DET	0	6	7	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
RDA	PROPN	1	6	8	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
e	CCONJ	0	6	9	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
o	DET	0	6	10	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
formato	NOUN	0	6	11	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
MARC21	ADJ	1	6	12	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
.	PUNCT	0	6	13	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
5	['DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT']	[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	6	5	1	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
Bibliotecas	NOUN	1	7	0	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
públicas	ADJ	0	7	1	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
desempenham	VERB	1	7	2	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
um	DET	0	7	3	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
papel	NOUN	0	7	4	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
fundamental	ADJ	0	7	5	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
na	ADP	0	7	6	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
promoção	NOUN	0	7	7	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
do	ADP	0	7	8	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
letramento	NOUN	1	7	9	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
informacional	ADJ	1	7	10	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
na	ADP	0	7	11	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
sociedade	NOUN	0	7	12	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
.	PUNCT	0	7	13	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
6	['NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]	7	6	1	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
A	DET	0	8	0	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
indexação	NOUN	1	8	1	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
de	ADP	0	8	2	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
documentos	NOUN	0	8	3	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
facilita	VERB	1	8	4	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
a	DET	0	8	5	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
recuperação	NOUN	0	8	6	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
da	ADP	0	8	7	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
informação	NOUN	0	8	8	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
em	ADP	0	8	9	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
bases	NOUN	0	8	10	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
de	ADP	0	8	11	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
dados	NOUN	0	8	12	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
especializadas	VERB	0	8	13	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
.	PUNCT	0	8	14	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
7	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']	[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	8	7	1	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
O	DET	0	9	0	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Manifesto	PROPN	1	9	1	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
da	ADP	0	9	2	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
IFLA	PROPN	1	9	3	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
para	ADP	0	9	4	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Bibliotecas	PROPN	1	9	5	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Públicas	PROPN	0	9	6	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
destaca	VERB	0	9	7	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
a	DET	0	9	8	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
importância	NOUN	0	9	9	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
do	ADP	0	9	10	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
acesso	NOUN	0	9	11	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
livre	ADJ	0	9	12	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
ao	ADP	0	9	13	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
conhecimento	NOUN	0	9	14	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
.	PUNCT	0	9	15	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
8	['DET', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']	[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9	8	1	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Serviços	NOUN	0	10	0	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
de	ADP	0	10	1	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
referência	NOUN	0	10	2	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
auxiliam	VERB	1	10	3	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
os	DET	0	10	4	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
usuários	NOUN	0	10	5	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
na	ADP	0	10	6	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
busca	NOUN	0	10	7	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
por	ADP	0	10	8	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
fontes	NOUN	0	10	9	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
de	ADP	0	10	10	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
informação	NOUN	0	10	11	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
confiáveis	ADJ	1	10	12	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
e	CCONJ	0	10	13	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
acadêmicas	ADJ	1	10	14	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
.	PUNCT	0	10	15	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
9	['NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT']	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]	10	9	1	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
A	DET	0	11	0	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
automação	NOUN	1	11	1	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
de	ADP	0	11	2	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
bibliotecas	NOUN	0	11	3	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
utiliza	VERB	0	11	4	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
softwares	NOUN	0	11	5	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
como	ADP	0	11	6	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
o	DET	0	11	7	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Koha	PROPN	1	11	8	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
e	CCONJ	0	11	9	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
o	DET	0	11	10	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Pergamum	PROPN	1	11	11	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
para	SCONJ	0	11	12	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
gerenciar	VERB	1	11	13	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
acervos	NOUN	1	11	14	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
.	PUNCT	0	11	15	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
10	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'SCONJ', 'VERB', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]	11	10	1	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Metadados	NOUN	1	12	0	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
são	AUX	0	12	1	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
fundamentais	ADJ	0	12	2	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
para	ADP	0	12	3	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
a	DET	0	12	4	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
descrição	NOUN	0	12	5	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
e	CCONJ	0	12	6	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
organização	NOUN	0	12	7	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
de	ADP	0	12	8	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
recursos	NOUN	0	12	9	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
em	ADP	0	12	10	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
ambientes	NOUN	0	12	11	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
digitais	ADJ	0	12	12	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
.	PUNCT	0	12	13	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
11	['NOUN', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	12	11	1	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
A	DET	0	13	0	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
biblioteca	NOUN	0	13	1	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
escolar	ADJ	0	13	2	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
é	AUX	0	13	3	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
um	DET	0	13	4	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
espaço	NOUN	0	13	5	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
de	ADP	0	13	6	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
apoio	NOUN	0	13	7	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
pedagógico	ADJ	1	13	8	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
que	PRON	0	13	9	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
estimula	VERB	1	13	10	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
o	DET	0	13	11	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
hábito	NOUN	0	13	12	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
da	ADP	0	13	13	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
leitura	NOUN	0	13	14	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
.	PUNCT	0	13	15	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
12	['DET', 'NOUN', 'ADJ', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]	13	12	1	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
O	DET	0	14	0	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
controle	NOUN	0	14	1	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
de	ADP	0	14	2	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
autoridades	NOUN	0	14	3	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
garante	VERB	0	14	4	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
a	DET	0	14	5	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
consistência	NOUN	1	14	6	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
dos	ADP	0	14	7	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
nomes	NOUN	0	14	8	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
de	ADP	0	14	9	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
autores	NOUN	0	14	10	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
nos	ADP	0	14	11	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
